1517k  223.215.3.199:2000
1470k  114.107.3.230:2000
1443k  60.168.231.218:2000
1439k  60.168.231.209:2000
1427k  60.168.224.173:2000
1423k  60.168.225.55:2000
1412k  60.168.225.139:2000
1388k  114.107.2.37:2000
1387k  114.107.2.88:2000
1386k  61.190.129.195:8686
1363k  223.247.166.255:2000
1320k  220.178.184.252:4000
1248k  183.166.118.216:8888
1170k  117.67.171.13:4022
1101k  183.164.58.56:8888
